AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
CYMG	YMG		Manitouwadge Airport	Manitouwadge, Ontario, Canada
CYMH	YMH		Mary's Harbour Airport	Mary's Harbour, Labrador, Canada
CYMJ	YMJ		CFB Moose Jaw	Moose Jaw, Saskatchewan, Canada
CYML	YML		Charlevoix Airport	Charlevoix, Quebec, Canada
CYMM	YMM		Fort McMurray Airport	Fort McMurray, Alberta, Canada
CYMO	YMO		Moosonee Airport	Moosonee, Ontario, Canada
CYMT	YMT		Chibougamau/Chapais Airport	Chibougamau, Quebec, Canada
CYMU	YUD		Umiujaq Airport	Umiujaq, Quebec, Canada
CYMW	YMW		Maniwaki Airport	Maniwaki, Quebec, Canada
CYMX	YMX		Montréal-Mirabel International Airport	Mirabel (near Montreal), Quebec, Canada
CYNA	YNA		Natashquan Airport	Natashquan, Quebec, Canada
CYNC	YNC		Wemindji Airport	Wemindji, Quebec, Canada
CYND	YND		Gatineau-Ottawa Executive Airport	Gatineau, Quebec, Canada
CYNE	YNE		Norway House Airport	Norway House, Manitoba, Canada
CYNH	YNH		Hudson's Hope Airport	Hudson's Hope, British Columbia, Canada
CYNI	YNI		Nitchequon Airport	Nitchequon, Quebec, Canada
CYNL	YNL		Points North Landing Airport	Points North Landing, Saskatchewan, Canada
CYNM	YNM		Matagami Airport	Matagami, Quebec, Canada
CYOC	YOC		Old Crow Airport	Old Crow, Yukon, Canada
CYOD	YOD		CFB Cold Lake	Cold Lake, Alberta, Canada
CYOH	YOH		Oxford House Airport	Oxford House, Manitoba, Canada
CYOJ	YOJ		High Level Airport	High Level, Alberta, Canada
CYOO	YOO		Oshawa Airport	Oshawa, Ontario, Canada
CYOP	YOP		Rainbow Lake Airport	Rainbow Lake, Alberta, Canada
CYOS	YOS		Owen Sound/Billy Bishop Regional Airport	Owen Sound, Ontario, Canada
CYOW	YOW		Ottawa/Macdonald-Cartier International Airport	Ottawa, Ontario, Canada
CYOY	YOY		CFB Valcartier (heliport)	Valcartier, Québec, Canada
CYPA	YPA		Prince Albert (Glass Field) Airport	Prince Albert, Saskatchewan, Canada
CYPC	YPC		Paulatuk Airport	Paulatuk, Northwest Territories, Canada
CYPD	YPS		Port Hawkesbury Airport	Port Hawkesbury, Nova Scotia, Canada
CYPE	YPE		Peace River Airport	Peace River, Alberta, Canada
CYPG	YPG		Portage La Prairie/Southport Airport	Portage la Prairie, Manitoba, Canada
CYPH	YPH		Inukjuak Airport	Inukjuak, Quebec, Canada
CYPL	YPL		Pickle Lake Airport	Pickle Lake, Ontario, Canada
CYPM	YPM		Pikangikum Airport	Pikangikum, Ontario, Canada
CYPN	YPN		Port-Menier Airport	Port-Menier, Quebec, Canada
CYPO	YPO		Peawanuck Airport	Peawanuck, Ontario, Canada
CYPQ	YPQ		Peterborough Airport	Peterborough, Ontario, Canada
CYPR	YPR		Prince Rupert Airport	Prince Rupert, British Columbia, Canada
CYPW	YPW		Powell River Airport	Powell River, British Columbia, Canada
CYPX	YPX		Puvirnituq Airport	Puvirnituq, Quebec, Canada
CYPY	YPY		Fort Chipewyan Airport	Fort Chipewyan, Alberta, Canada
CYPZ	YPZ		Burns Lake Airport	Burns Lake, British Columbia, Canada
CYQA	YQA		Muskoka Airport	Muskoka, Ontario, Canada
CYQB	YQB		Québec/Jean Lesage International Airport	Sainte-Foy, Quebec City, Quebec, Canada
CYQD	YQD		The Pas Airport	The Pas, Manitoba, Canada
CYQF	YQF		Red Deer Regional Airport	Red Deer, Alberta, Canada
CYQG	YQG		Windsor Airport	Windsor, Ontario, Canada
CYQH	YQH		Watson Lake Airport	Watson Lake, Yukon, Canada
CYQI	YQI		Yarmouth Airport	Yarmouth, Nova Scotia, Canada
CYQK	YQK		Kenora Airport	Kenora, Ontario, Canada
CYQL	YQL		Lethbridge County Airport	Lethbridge, Alberta, Canada
CYQM	YQM		Greater Moncton International Airport	Moncton, New Brunswick, Canada
CYQN	YQN		Nakina Airport	Nakina, Ontario, Canada
CYQQ	YQQ		CFB Comox	Comox, British Columbia, Canada
CYQR	YQR		Regina International Airport	Regina, Saskatchewan, Canada
CYQS	YQS		St. Thomas Municipal Airport	St. Thomas, Ontario, Canada
CYQT	YQT		Thunder Bay Airport	Thunder Bay, Ontario, Canada
CYQU	YQU		Grande Prairie Airport	Grande Prairie, Alberta, Canada
CYQV	YQV		Yorkton Municipal Airport	Yorkton, Saskatchewan, Canada
CYQW	YQW		North Battleford (Cameron McIntosh) Airport	North Battleford, Saskatchewan, Canada
CYQX	YQX		Gander International Airport / CFB Gander	Gander, Newfoundland, Canada
CYQY	YQY		Sydney/J.A. Douglas McCurdy Airport	Sydney, Nova Scotia, Canada
CYQZ	YQZ		Quesnel Airport	Quesnel, British Columbia, Canada
CYRA	YRA		Gamètì/Rae Lakes Airport	Gamèti (formerly Rae Lakes), Northwest Territories, Canada
CYRB	YRB		Resolute Bay Airport	Resolute, Nunavut, Canada
CYRC	YRC		Chicoutimi/Saint-Honoré Aerodrome	Chicoutimi, Quebec, Canada
CYRI	YRI		Rivière-du-Loup Airport	Rivière-du-Loup, Quebec, Canada
CYRJ	YRJ		Roberval Airport	Roberval, Quebec, Canada
CYRL	YRL		Red Lake Airport	Red Lake, Ontario, Canada
CYRM	YRM		Rocky Mountain House Airport	Rocky Mountain House, Alberta, Canada
CYRO	YRO		Rockcliffe Airport	Ottawa, Ontario, Canada
CYRP	YRP		Carp Airport	Carp, Ontario, Canada
CYRQ	YRQ		Trois-Rivières Airport	Trois-Rivières, Quebec, Canada
CYRS	YRS		Red Sucker Lake Airport	Red Sucker Lake, Manitoba, Canada
CYRT	YRT		Rankin Inlet Airport	Rankin Inlet, Nunavut, Canada
CYRV	YRV		Revelstoke Airport	Revelstoke, British Columbia, Canada
CYSA	YSA		Sable Island Airport	Sable Island, Nova Scotia, Canada
CYSB	YSB		Sudbury Airport	Greater Sudbury, Ontario, Canada
CYSC	YSC		Sherbrooke Airport	Sherbrooke, Quebec, Canada
CYSD	YSD		CFB Suffield	Suffield, Alberta, Canada
CYSE	YSE		Squamish Airport	Squamish, British Columbia, Canada
CYSF	YSF		Stony Rapids Airport	Stony Rapids, Saskatchewan, Canada
CYSH	YSH		Smiths Falls-Montague Airport	Smiths Falls, Ontario, Canada
CYSJ	YSJ		Saint John Airport	Saint John, New Brunswick, Canada
CYSK	YSK		Sanikiluaq Airport	Sanikiluaq, Nunavut, Canada
CYSL	YSL		Saint-Léonard Aerodrome	Saint-Léonard, New Brunswick, Canada
CYSM	YSM		Fort Smith Airport	Fort Smith, Northwest Territories, Canada
CYSN	YCM		St. Catharines/Niagara District Airport	St. Catharines, Ontario, Canada
CYSP	YSP		Marathon Aerodrome	Marathon, Ontario, Canada
CYSR	YSR		Nanisivik Airport	Nanisivik, Nunavut, Canada
CYST	YST		St. Theresa Point Airport	St. Theresa Point, Manitoba, Canada
CYSU	YSU		Summerside Airport	Summerside, Prince Edward Island, Canada
CYSV	YSV		Saglek Airport	Saglek, Labrador, Canada
CYSY	YSY		Sachs Harbour Airport	Sachs Harbour, Northwest Territories, Canada
CYTA	YTA		Pembroke Airport	Pembroke, Ontario, Canada
CYTE	YTE		Cape Dorset Airport	Cape Dorset, Nunavut, Canada
CYTF	YTF		Alma Airport	Alma, Quebec, Canada
CYTH	YTH		Thompson Airport	Thompson, Manitoba, Canada
CYTJ	YTJ		Terrace Bay Airport	Terrace Bay, Ontario, Canada
CYTL	YTL		Big Trout Lake Airport	Big Trout Lake, Ontario, Canada
CYTQ	YTQ		Tasiujaq Airport	Tasiujaq, Quebec, Canada
CYTR	YTR		CFB Trenton / Trenton Airport	Trenton, Ontario, Canada
CYTS	YTS		Timmins/Victor M. Power Airport	Timmins, Ontario, Canada
CYTZ	YTZ		Billy Bishop Toronto City Airport	Toronto, Ontario, Canada
CYUB	YUB		Tuktoyaktuk/James Gruben Airport	Tuktoyaktuk, Northwest Territories, Canada
CYUL	YUL		Montréal-Pierre Elliott Trudeau International Airport	Dorval, Quebec, Canada
CYUT	YUT		Repulse Bay Airport	Repulse Bay, Nunavut, Canada
CYUX	YUX		Hall Beach Airport	Hall Beach, Nunavut, Canada
CYUY	YUY		Rouyn-Noranda Airport	Rouyn-Noranda, Quebec, Canada
CYVB	YVB		Bonaventure Airport	Bonaventure, Quebec, Canada
CYVC	YVC		La Ronge (Barber Field) Airport	La Ronge, Saskatchewan, Canada
CYVG	YVG		Vermilion Airport	Vermilion, Alberta, Canada
