apd			I	Active	L	Arabic, Sudanese	Arabic, Sudanese	Sudanese Arabic
ape			I	Active	L	Bukiyip		Bukiyip
apf			I	Active	L	Agta, Pahanan	Agta, Pahanan	Pahanan Agta
apg			I	Active	L	Ampanang		Ampanang
aph			I	Active	L	Athpariya		Athpariya
api			I	Active	L	Apiaká		Apiaká
apj			I	Active	L	Apache, Jicarilla	Apache, Jicarilla	Jicarilla Apache
apk			I	Active	L	Apache, Kiowa	Apache, Kiowa	Kiowa Apache
apl			I	Active	L	Apache, Lipan	Apache, Lipan	Lipan Apache
apm			I	Active	L	Apache, Mescalero-Chiricahua	Apache, Mescalero-Chiricahua	Mescalero-Chiricahua Apache
apn			I	Active	L	Apinayé		Apinayé
apo			I	Active	L	Ambul		Ambul
app			I	Active	L	Apma		Apma
apq			I	Active	L	A-Pucikwar		A-Pucikwar
apr			I	Active	L	Arop-Lokep		Arop-Lokep
aps			I	Active	L	Arop-Sissano		Arop-Sissano
apt			I	Active	L	Apatani		Apatani
apu			I	Active	L	Apurinã		Apurinã
apv			I	Active	E	Alapmunte		Alapmunte
apw			I	Active	L	Apache, Western	Apache, Western	Western Apache
apx			I	Active	L	Aputai		Aputai
apy			I	Active	L	Apalaí		Apalaí
apz			I	Active	L	Safeyoka		Safeyoka
aqa		aqa	C	Active	Genetic	Alacalufan languages		Alacalufan languages
aqc			I	Active	L	Archi		Archi
aqd			I	Active	L	Dogon, Ampari	Dogon, Ampari	Ampari Dogon
aqg			I	Active	L	Arigidi		Arigidi
aql		aql	C	Active	Genetic	Algic languages		Algic languages
aqm			I	Active	L	Atohwaim		Atohwaim
aqn			I	Active	L	Alta, Northern	Alta, Northern	Northern Alta
aqp			I	Active	E	Atakapa		Atakapa
aqr			I	Active	L	Arhâ		Arhâ
aqz			I	Active	L	Akuntsu		Akuntsu
ara	ar	ara	M	Active	L	Arabic		Arabic
arb			I	Active	L	Arabic, Standard	Arabic, Standard	Standard Arabic
arc		arc	I	Active	A	Aramaic, Official (700-300 BCE)	Aramaic, Official (700-300 BCE)	Official Aramaic (700-300 BCE)
ard			I	Active	E	Arabana		Arabana
are			I	Active	L	Arrarnta, Western	Arrarnta, Western	Western Arrarnta
arf			I	Retired	L	Arafundi		Arafundi
arg	an	arg	I	Active	L	Aragonese		Aragonese
arh			I	Active	L	Arhuaco		Arhuaco
ari			I	Active	L	Arikara		Arikara
arj			I	Active	E	Arapaso		Arapaso
ark			I	Active	L	Arikapú		Arikapú
arl			I	Active	L	Arabela		Arabela
arm	hy	arm	I	Active	L	Armenian		Armenian
arn		arn	I	Active	L	Mapudungun		Mapudungun
aro			I	Active	L	Araona		Araona
arp		arp	I	Active	L	Arapaho		Arapaho
arq			I	Active	L	Arabic, Algerian	Arabic, Algerian	Algerian Arabic
arr			I	Active	L	Karo (Brazil)		Karo (Brazil)
ars			I	Active	L	Arabic, Najdi	Arabic, Najdi	Najdi Arabic
art		art	C	Active	Genetic-like	Artificial languages		Artificial languages
aru			I	Active	E	Aruá (Amazonas State)		Aruá (Amazonas State)
arv			I	Active	L	Arbore		Arbore
arw		arw	I	Active	L	Arawak		Arawak
arx			I	Active	L	Aruá (Rodonia State)		Aruá (Rodonia State)
ary			I	Active	L	Arabic, Moroccan	Arabic, Moroccan	Moroccan Arabic
arz			I	Active	L	Arabic, Egyptian	Arabic, Egyptian	Egyptian Arabic
asa			I	Active	L	Asu (Tanzania)		Asu (Tanzania)
asb			I	Active	L	Assiniboine		Assiniboine
asc			I	Active	L	Asmat, Casuarina Coast	Asmat, Casuarina Coast	Casuarina Coast Asmat
asd			I	Active	L	Asas		Asas
ase			I	Active	L	American Sign Language		American Sign Language
asf			I	Active	L	Australian Sign Language		Australian Sign Language
asg			I	Active	L	Cishingini		Cishingini
ash			I	Active	E	Abishira		Abishira
asi			I	Active	L	Buruwai		Buruwai
asj			I	Active	L	Nsari		Nsari
ask			I	Active	L	Ashkun		Ashkun
asl			I	Active	L	Asilulu		Asilulu
asm	as	asm	I	Active	L	Assamese		Assamese
asn			I	Active	L	Asuriní, Xingú	Asuriní, Xingú	Xingú Asuriní
aso			I	Active	L	Dano		Dano
asp			I	Active	L	Algerian Sign Language		Algerian Sign Language
asq			I	Active	L	Austrian Sign Language		Austrian Sign Language
asr			I	Active	L	Asuri		Asuri
ass			I	Active	L	Ipulo		Ipulo
ast		ast	I	Active	L	Asturian		Asturian
asu			I	Active	L	Asurini, Tocantins	Asurini, Tocantins	Tocantins Asurini
asv			I	Active	L	Asoa		Asoa
asw			I	Active	L	Australian Aborigines Sign Language		Australian Aborigines Sign Language
asx			I	Active	L	Muratayak		Muratayak
asy			I	Active	L	Asmat, Yaosakor	Asmat, Yaosakor	Yaosakor Asmat
asz			I	Active	L	As		As
ata			I	Active	L	Pele-Ata		Pele-Ata
atb			I	Active	L	Zaiwa		Zaiwa
atc			I	Active	E	Atsahuaca		Atsahuaca
atd			I	Active	L	Manobo, Ata	Manobo, Ata	Ata Manobo
ate			I	Active	L	Atemble		Atemble
atf			I	Retired	L	Atuence		Atuence
atg			I	Active	L	Ivbie North-Okpela-Arhe		Ivbie North-Okpela-Arhe
ath		ath	C	Active	Genetic	Athapascan languages		Athapascan languages
ati			I	Active	L	Attié		Attié
atj			I	Active	L	Atikamekw		Atikamekw
atk			I	Active	L	Ati		Ati
atl			I	Active	L	Agta, Mt. Iraya	Agta, Mt. Iraya	Mt. Iraya Agta
atm			I	Active	L	Ata		Ata
atn			I	Active	L	Ashtiani		Ashtiani
ato			I	Active	L	Atong		Atong
atp			I	Active	L	Atta, Pudtol	Atta, Pudtol	Pudtol Atta
atq			I	Active	L	Aralle-Tabulahan		Aralle-Tabulahan
atr			I	Active	L	Waimiri-Atroari		Waimiri-Atroari
ats			I	Active	L	Gros Ventre		Gros Ventre
att			I	Active	L	Atta, Pamplona	Atta, Pamplona	Pamplona Atta
atu			I	Active	L	Reel		Reel
atv			I	Active	L	Altai, Northern	Altai, Northern	Northern Altai
atw			I	Active	L	Atsugewi		Atsugewi
atx			I	Active	L	Arutani		Arutani
aty			I	Active	L	Aneityum		Aneityum
atz			I	Active	L	Arta		Arta
aua			I	Active	L	Asumboa		Asumboa
aub			I	Active	L	Alugu		Alugu
auc			I	Active	L	Waorani		Waorani
aud			I	Active	L	Anuta		Anuta
aue			I	Active	L	=/Kx'au//'ein		=/Kx'au//'ein
auf		auf	C	Active	Genetic	Arauan languages		Arauan languages
aug			I	Active	L	Aguna		Aguna
auh			I	Active	L	Aushi		Aushi
aui			I	Active	L	Anuki		Anuki
auj			I	Active	L	Awjilah		Awjilah
auk			I	Active	L	Heyo		Heyo
aul			I	Active	L	Aulua		Aulua
aum			I	Active	L	Asu (Nigeria)		Asu (Nigeria)
aun			I	Active	L	One, Molmo	One, Molmo	Molmo One
auo			I	Active	E	Auyokawa		Auyokawa
aup			I	Active	L	Makayam		Makayam
auq			I	Active	L	Anus		Anus
aur			I	Active	L	Aruek		Aruek
aus		aus	C	Active	Genetic	Australian languages		Australian languages
aut			I	Active	L	Austral		Austral
auu			I	Active	L	Auye		Auye
auv			I	Retired	L	Auvergnat		Auvergnat
auw			I	Active	L	Awyi		Awyi
aux			I	Active	E	Aurá		Aurá
auy			I	Active	L	Awiyaana		Awiyaana
auz			I	Active	L	Arabic, Uzbeki	Arabic, Uzbeki	Uzbeki Arabic
ava	av	ava	I	Active	L	Avaric		Avaric
avb			I	Active	L	Avau		Avau
avd			I	Active	L	Alviri-Vidari		Alviri-Vidari
ave	ae	ave	I	Active	A	Avestan		Avestan
avi			I	Active	L	Avikam		Avikam
avk			I	Active	C	Kotava		Kotava
avl			I	Active	L	Arabic, Eastern Egyptian Bedawi	Arabic, Eastern Egyptian Bedawi	Eastern Egyptian Bedawi Arabic
avm			I	Active	E	Angkamuthi		Angkamuthi
avn			I	Active	L	Avatime		Avatime
avo			I	Active	E	Agavotaguerra		Agavotaguerra
avs			I	Active	E	Aushiri		Aushiri
avt			I	Active	L	Au		Au
avu			I	Active	L	Avokaya		Avokaya
avv			I	Active	L	Avá-Canoeiro		Avá-Canoeiro
awa		awa	I	Active	L	Awadhi		Awadhi
awb			I	Active	L	Awa (Papua New Guinea)		Awa (Papua New Guinea)
awc			I	Active	L	Cicipu		Cicipu
awd		awd	C	Active	Genetic	Arawakan languages		Arawakan languages
awe			I	Active	L	Awetí		Awetí
awg			I	Active	E	Anguthimri		Anguthimri
awh			I	Active	L	Awbono		Awbono
awi			I	Active	L	Aekyom		Aekyom
awk			I	Active	E	Awabakal		Awabakal
awm			I	Active	L	Arawum		Arawum
awn			I	Active	L	Awngi		Awngi
awo			I	Active	L	Awak		Awak
awr			I	Active	L	Awera		Awera
aws			I	Active	L	Awyu, South	Awyu, South	South Awyu
awt			I	Active	L	Araweté		Araweté
awu			I	Active	L	Awyu, Central	Awyu, Central	Central Awyu
awv			I	Active	L	Awyu, Jair	Awyu, Jair	Jair Awyu
aww			I	Active	L	Awun		Awun
awx			I	Active	L	Awara		Awara
awy			I	Active	L	Awyu, Edera	Awyu, Edera	Edera Awyu
axb			I	Active	E	Abipon		Abipon
axe			I	Active	E	Ayerrerenge		Ayerrerenge
axg			I	Active	E	Arára, Mato Grosso	Arára, Mato Grosso	Mato Grosso Arára
axk			I	Active	L	Yaka (Central African Republic)		Yaka (Central African Republic)
axm			I	Active	H	Armenian, Middle	Armenian, Middle	Middle Armenian
axx			I	Active	L	Xaragure		Xaragure
aya			I	Active	L	Awar		Awar
ayb			I	Active	L	Gbe, Ayizo	Gbe, Ayizo	Ayizo Gbe
ayc			I	Active	L	Aymara, Southern	Aymara, Southern	Southern Aymara
