Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
amw	A	SIL	amw					Western Neo-Aramaic	I	L	SIL
amx	A	SIL	amx					Anmatyerre	I	L	SIL
amy	A	SIL	amy					Ami	I	L	SIL
amz	A	SIL	amz					Atampaya	I	E	SIL
ana	A	SIL	ana					Andaqui	I	E	SIL
anb	A	SIL	anb					Andoa	I	E	SIL
anc	A	SIL	anc					Ngas	I	L	SIL
and	A	SIL	and					Ansus	I	L	SIL
ane	A	SIL	ane					Xârâcùù	I	L	SIL
anf	A	SIL	anf					Animere	I	L	SIL
ang	A	JAC	ang	ang				Old English (ca. 450-1100)	I	H	LL
anh	A	SIL	anh					Nend	I	L	SIL
ani	A	SIL	ani					Andi	I	L	SIL
anj	A	SIL	anj					Anor	I	L	SIL
ank	A	SIL	ank					Goemai	I	L	SIL
anl	A	SIL	anl					Anu-Hkongso Chin	I	L	SIL
anm	A	SIL	anm					Anal	I	L	SIL
ann	A	SIL	ann					Obolo	I	L	SIL
ano	A	SIL	ano					Andoque	I	L	SIL
anp	A	JAC	anp	anp				Angika	I	L	SIL
anq	A	SIL	anq					Jarawa (India)	I	L	SIL
anr	A	SIL	anr					Andh	I	L	SIL
ans	A	SIL	ans					Anserma	I	E	SIL
ant	A	SIL	ant					Antakarinya	I	L	SIL
anu	A	SIL	anu					Anuak	I	L	SIL
anv	A	SIL	anv					Denya	I	L	SIL
anw	A	SIL	anw					Anaang	I	L	SIL
anx	A	SIL	anx					Andra-Hus	I	L	SIL
any	A	SIL	any					Anyin	I	L	SIL
anz	A	SIL	anz					Anem	I	L	SIL
aoa	A	SIL	aoa					Angolar	I	L	SIL
aob	A	SIL	aob					Abom	I	L	SIL
aoc	A	SIL	aoc					Pemon	I	L	SIL
aod	A	SIL	aod					Andarum	I	L	SIL
aoe	A	SIL	aoe					Angal Enen	I	L	SIL
aof	A	SIL	aof					Bragat	I	L	SIL
aog	A	SIL	aog					Angoram	I	L	SIL
aoh	A	SIL	aoh					Arma	I	E	SIL
aoi	A	SIL	aoi					Anindilyakwa	I	L	SIL
aoj	A	SIL	aoj					Mufian	I	L	SIL
aok	A	SIL	aok					Arhö	I	L	SIL
aol	A	SIL	aol					Alor	I	L	SIL
aom	A	SIL	aom					Ömie	I	L	SIL
aon	A	SIL	aon					Bumbita Arapesh	I	L	SIL
aor	A	SIL	aor					Aore	I	E	SIL
aos	A	SIL	aos					Taikat	I	L	SIL
aot	A	SIL	aot					A'tong	I	L	SIL
aou	A	SIL	aou					A'ou	I	L	
aox	A	SIL	aox					Atorada	I	L	SIL
aoz	A	SIL	aoz					Uab Meto	I	L	SIL
apa	A	JAC		apa				Apache languages	C	Genetic	
apb	A	SIL	apb					Sa'a	I	L	SIL
apc	A	SIL	apc					North Levantine Arabic	I	L	SIL
apd	A	SIL	apd					Sudanese Arabic	I	L	SIL
ape	A	SIL	ape					Bukiyip	I	L	SIL
apf	A	SIL	apf					Pahanan Agta	I	L	
apg	A	SIL	apg					Ampanang	I	L	SIL
aph	A	SIL	aph					Athpariya	I	L	SIL
api	A	SIL	api					Apiaká	I	L	SIL
apj	A	SIL	apj					Jicarilla Apache	I	L	SIL
apk	A	SIL	apk					Kiowa Apache	I	L	SIL
apl	A	SIL	apl					Lipan Apache	I	L	SIL
apm	A	SIL	apm					Mescalero-Chiricahua Apache	I	L	SIL
apn	A	SIL	apn					Apinayé	I	L	SIL
apo	A	SIL	apo					Ambul	I	L	SIL
app	A	SIL	app					Apma	I	L	SIL
apq	A	SIL	apq					A-Pucikwar	I	L	SIL
apr	A	SIL	apr					Arop-Lokep	I	L	SIL
aps	A	SIL	aps					Arop-Sissano	I	L	SIL
apt	A	SIL	apt					Apatani	I	L	SIL
apu	A	SIL	apu					Apurinã	I	L	SIL
apv	A	LL	apv					Alapmunte	I	E	
apw	A	SIL	apw					Western Apache	I	L	SIL
apx	A	SIL	apx					Aputai	I	L	SIL
apy	A	SIL	apy					Apalaí	I	L	SIL
apz	A	SIL	apz					Safeyoka	I	L	SIL
aqa	A	JAC5		aqa				Alacalufan languages	C	Genetic	
aqc	A	SIL	aqc					Archi	I	L	SIL
aqd	A	SIL	aqd					Ampari Dogon	I	L	
aqg	A	SIL	aqg					Arigidi	I	L	SIL
aql	A	JAC5		aql				Algic languages	C	Genetic	
aqm	A	SIL	aqm					Atohwaim	I	L	SIL
aqn	A	SIL	aqn					Northern Alta	I	L	SIL
aqp	A	SIL	aqp					Atakapa	I	E	SIL
aqr	A	SIL	aqr					Arhâ	I	L	SIL
aqz	A	SIL	aqz					Akuntsu	I	L	
ara	A	JAC	ara	ara			ar	Arabic	M	L	
arb	A	SIL	arb					Standard Arabic	I	L	SIL
arc	A	JAC	arc	arc				Official Aramaic (700-300 BCE)	I	A	LL
ard	A	SIL	ard					Arabana	I	E	SIL
are	A	SIL	are					Western Arrarnta	I	L	SIL
arf	R	SIL	arf					Arafundi	I	L	
arg	A	JAC	arg	arg			an	Aragonese	I	L	SIL
arh	A	SIL	arh					Arhuaco	I	L	SIL
ari	A	SIL	ari					Arikara	I	L	SIL
arj	A	SIL	arj					Arapaso	I	E	SIL
ark	A	SIL	ark					Arikapú	I	L	SIL
arl	A	SIL	arl					Arabela	I	L	SIL
arm	A	JACB		arm		hye	hy	Armenian	I	L	
arn	A	JAC	arn	arn				Mapudungun	I	L	SIL
aro	A	SIL	aro					Araona	I	L	SIL
arp	A	JAC	arp	arp				Arapaho	I	L	SIL
arq	A	SIL	arq					Algerian Arabic	I	L	SIL
arr	A	SIL	arr					Karo (Brazil)	I	L	SIL
ars	A	SIL	ars					Najdi Arabic	I	L	SIL
art	A	JAC		art				Artificial languages	C	Genetic-like	
aru	A	LL	aru					Aruá (Amazonas State)	I	E	
arv	A	SIL	arv					Arbore	I	L	SIL
arw	A	JAC	arw	arw				Arawak	I	L	SIL
arx	A	SIL	arx					Aruá (Rodonia State)	I	L	SIL
ary	A	SIL	ary					Moroccan Arabic	I	L	SIL
arz	A	SIL	arz					Egyptian Arabic	I	L	SIL
asa	A	SIL	asa					Asu (Tanzania)	I	L	SIL
asb	A	SIL	asb					Assiniboine	I	L	SIL
asc	A	SIL	asc					Casuarina Coast Asmat	I	L	SIL
asd	A	SIL	asd					Asas	I	L	SIL
ase	A	SIL	ase					American Sign Language	I	L	SIL
asf	A	SIL	asf					Australian Sign Language	I	L	SIL
asg	A	SIL	asg					Cishingini	I	L	SIL
ash	A	SIL	ash					Abishira	I	E	SIL
asi	A	SIL	asi					Buruwai	I	L	SIL
asj	A	SIL	asj					Nsari	I	L	SIL
ask	A	SIL	ask					Ashkun	I	L	SIL
asl	A	SIL	asl					Asilulu	I	L	SIL
asm	A	JAC	asm	asm			as	Assamese	I	L	SIL
asn	A	SIL	asn					Xingú Asuriní	I	L	SIL
aso	A	SIL	aso					Dano	I	L	SIL
asp	A	SIL	asp					Algerian Sign Language	I	L	SIL
asq	A	SIL	asq					Austrian Sign Language	I	L	SIL
asr	A	SIL	asr					Asuri	I	L	SIL
ass	A	SIL	ass					Ipulo	I	L	SIL
ast	A	JAC	ast	ast				Asturian	I	L	SIL
asu	A	SIL	asu					Tocantins Asurini	I	L	SIL
asv	A	SIL	asv					Asoa	I	L	SIL
asw	A	SIL	asw					Australian Aborigines Sign Language	I	L	SIL
asx	A	SIL	asx					Muratayak	I	L	SIL
asy	A	SIL	asy					Yaosakor Asmat	I	L	SIL
asz	A	SIL	asz					As	I	L	SIL
ata	A	SIL	ata					Pele-Ata	I	L	SIL
atb	A	SIL	atb					Zaiwa	I	L	SIL
atc	A	LL	atc					Atsahuaca	I	E	
atd	A	SIL	atd					Ata Manobo	I	L	SIL
ate	A	SIL	ate					Atemble	I	L	SIL
atf	R	SIL	atf					Atuence	I	L	
atg	A	SIL	atg					Ivbie North-Okpela-Arhe	I	L	SIL
ath	A	JAC		ath				Athapascan languages	C	Genetic	
ati	A	SIL	ati					Attié	I	L	SIL
atj	A	SIL	atj					Atikamekw	I	L	SIL
atk	A	SIL	atk					Ati	I	L	SIL
atl	A	SIL	atl					Mt. Iraya Agta	I	L	SIL
atm	A	SIL	atm					Ata	I	L	SIL
atn	A	SIL	atn					Ashtiani	I	L	SIL
ato	A	SIL	ato					Atong	I	L	SIL
atp	A	SIL	atp					Pudtol Atta	I	L	SIL
atq	A	SIL	atq					Aralle-Tabulahan	I	L	SIL
atr	A	SIL	atr					Waimiri-Atroari	I	L	SIL
ats	A	SIL	ats					Gros Ventre	I	L	SIL
att	A	SIL	att					Pamplona Atta	I	L	SIL
atu	A	SIL	atu					Reel	I	L	SIL
atv	A	SIL	atv					Northern Altai	I	L	SIL
atw	A	SIL	atw					Atsugewi	I	L	SIL
atx	A	SIL	atx					Arutani	I	L	SIL
aty	A	SIL	aty					Aneityum	I	L	SIL
atz	A	SIL	atz					Arta	I	L	SIL
aua	A	SIL	aua					Asumboa	I	L	SIL
aub	A	SIL	aub					Alugu	I	L	SIL
auc	A	SIL	auc					Waorani	I	L	SIL
aud	A	SIL	aud					Anuta	I	L	SIL
aue	A	SIL	aue					=/Kx'au//'ein	I	L	SIL
auf	A	JAC5		auf				Arauan languages	C	Genetic	
aug	A	SIL	aug					Aguna	I	L	SIL
auh	A	SIL	auh					Aushi	I	L	SIL
aui	A	SIL	aui					Anuki	I	L	SIL
