Primary Census Statistical Area                                	2011 Estimate	2010 Census	Type	Rank	Change	Core Based Statistical Areas
Evansville, IN-KY                                          	       359879	     358676	MSA	 131	+0.34%
Fairbanks, AK                                              	        99192	      97581	MSA	 322	+1.65%
Fairmont, MN                                               	        20689	      20840	µSA	 697	-0.72%
Fairmont-Clarksburg, WV                                    	       151109	     150614	CSA	 243	+0.33%	Clarksburg, WV µSA | Fairmont, WV µSA
Fallon, NV                                                 	        24637	      24877	µSA	 668	-0.96%
Fargo-Wahpeton, ND-MN                                      	       235008	     231674	CSA	 169	+1.44%	Fargo, ND-MN MSA | Wahpeton, ND-MN µSA
Farmington, NM                                             	       128200	     130044	MSA	 276	-1.42%
Fayetteville, NC                                           	       374157	     366383	MSA	 127	+2.12%
Fayetteville-Springdale-Rogers, AR-MO                      	       473830	     463204	MSA	 102	+2.29%
Fergus Falls, MN                                           	        57252	      57303	µSA	 437	-0.09%
Findlay-Tiffin, OH                                         	       131525	     131527	CSA	 272	0.00% 	Findlay, OH µSA | Tiffin, OH µSA
Fitzgerald, GA                                             	        27352	      27172	µSA	 649	+0.66%
Flagstaff, AZ                                              	       134511	     134421	MSA	 267	+0.07%
Florence, SC                                               	       206161	     205566	MSA	 185	+0.29%
Florence-Muscle Shoals, AL                                 	       147293	     147137	MSA	 249	+0.11%
Fond du Lac-Beaver Dam, WI                                 	       190740	     190392	CSA	 197	+0.18%	Fond du Lac, WI MSA | Beaver Dam, WI µSA
Forest City, NC                                            	        67538	      67810	µSA	 399	-0.40%
Forrest City, AR                                           	        27970	      28258	µSA	 643	-1.02%
Fort Collins-Loveland, CO                                  	       305525	     299630	MSA	 142	+1.97%
Fort Dodge, IA                                             	        37660	      38013	µSA	 566	-0.93%
Fort Leonard Wood, MO                                      	        53175	      52274	µSA	 456	+1.72%
Fort Madison-Keokuk, IA-MO                                 	        42640	      43001	µSA	 520	-0.84%
Fort Morgan, CO                                            	        28175	      28159	µSA	 641	+0.06%
Fort Payne, AL                                             	        71375	      71109	µSA	 386	+0.37%
Fort Polk South-DeRidder, LA                               	        88236	      87988	CSA	 345	+0.28%	Fort Polk South, LA µSA | De Ridder, LA µSA
Fort Smith, AR-OK                                          	       300087	     298592	MSA	 144	+0.50%
Fort Wayne-Huntington-Auburn, IN                           	       615077	     611712	CSA	  84	+0.55%	Fort Wayne, IN MSA | Kendallville, IN µSA | Auburn, IN µSA | Huntington, IN µSA | Decatur, IN µSA | Angola, IN µSA
Fredericksburg, TX                                         	        25114	      24837	µSA	 665	+1.12%
Fresno-Madera, CA                                          	      1095829	    1081315	CSA	  52	+1.34%	Fresno, CA MSA | Madera-Chowchilla, CA MSA
Gadsden, AL                                                	       104303	     104430	MSA	 315	-0.12%
Gainesville, FL                                            	       266369	     264275	MSA	 156	+0.79%
Galesburg, IL                                              	        70735	      70626	µSA	 388	+0.15%
Gallup, NM                                                 	        73664	      71492	µSA	 379	+3.04%
Garden City, KS                                            	        37083	      36776	µSA	 572	+0.83%
Gillette, WY                                               	        46618	      46133	µSA	 492	+1.05%
Glasgow, KY                                                	        52342	      52272	µSA	 460	+0.13%
Goldsboro, NC                                              	       123697	     122623	MSA	 286	+0.88%
Grand Forks, ND-MN                                         	        98054	      98461	MSA	 325	-0.41%
Grand Island, NE                                           	        73551	      72726	µSA	 380	+1.13%
Grand Junction, CO                                         	       147083	     146723	MSA	 251	+0.25%
Grand Rapids-Muskegon-Holland, MI                          	      1328440	    1321557	CSA	  43	+0.52%	Grand Rapids-Wyoming, MI MSA | Holland-Grand Haven, MI MSA | Muskegon-Norton Shores, MI MSA | Allegan, MI µSA
Grants Pass, OR                                            	        82987	      82713	µSA	 356	+0.33%
Grants, NM                                                 	        27658	      27213	µSA	 648	+1.64%
Great Bend, KS                                             	        27841	      27674	µSA	 645	+0.60%
Great Falls, MT                                            	        81837	      81327	MSA	 358	+0.63%
Green Bay, WI                                              	       309469	     306241	MSA	 138	+1.05%
Greeneville, TN                                            	        69339	      68831	µSA	 394	+0.74%
Greensboro-Winston-Salem-High Point, NC                    	      1602693	    1589200	CSA	  38	+0.85%	Greensboro-High Point, NC MSA | Winston-Salem, NC MSA | Thomasville-Lexington, NC µSA | Burlington, NC MSA | Mount Airy, NC µSA
Greensburg, IN                                             	        25944	      25740	µSA	 655	+0.79%
Greenville, MS                                             	        50406	      51137	µSA	 471	-1.43%
Greenville, NC                                             	       192690	     189510	MSA	 196	+1.68%
Greenville-Spartanburg-Anderson, SC                        	      1281394	    1266995	CSA	  45	+1.14%	Greenville-Mauldin-Easley, SC MSA | Spartanburg, SC MSA | Anderson, SC MSA | Seneca, SC µSA | Gaffney, SC µSA | Union, SC µSA
Greenwood, MS                                              	        42234	      42914	µSA	 521	-1.58%
Greenwood, SC                                              	        69835	      69661	µSA	 392	+0.25%
Grenada, MS                                                	        21706	      21906	µSA	 689	-0.91%
Gulfport-Biloxi-Pascagoula, MS                             	       416301	     411066	CSA	 118	+1.27%	Gulfport-Biloxi, MS MSA | Pascagoula, MS MSA
Guymon, OK                                                 	        21312	      20640	µSA	 694	+3.26%
Hagerstown-Martinsburg, MD-WV                              	       271488	     269140	MSA	 155	+0.87%
Hammond, LA                                                	       122571	     121097	µSA	 288	+1.22%
Hanford-Corcoran, CA                                       	       153765	     152982	MSA	 241	+0.51%
Hannibal, MO                                               	        38998	      38948	µSA	 549	+0.13%
Harrisburg, IL                                             	        24981	      24913	µSA	 666	+0.27%
Harrisburg-Carlisle-Lebanon, PA                            	       687222	     683043	CSA	  74	+0.61%	Harrisburg-Carlisle, PA MSA | Lebanon, PA MSA
Harrison, AR                                               	        45315	      45233	µSA	 503	+0.18%
Harrisonburg, VA                                           	       126562	     125228	MSA	 283	+1.07%
Hartford-West Hartford-Willimantic, CT                     	      1331406	    1330809	CSA	  42	+0.04%	Hartford-West Hartford-East Hartford, CT MSA | Willimantic, CT µSA
Hastings, NE                                               	        37702	      37906	µSA	 565	-0.54%
Hattiesburg, MS                                            	       145428	     142842	MSA	 252	+1.81%
Havre, MT                                                  	        16397	      16096	µSA	 710	+1.87%
Hays, KS                                                   	        28742	      28452	µSA	 637	+1.02%
Helena, MT                                                 	        75699	      74801	µSA	 375	+1.20%
Helena-West Helena, AR                                     	        21442	      21757	µSA	 691	-1.45%
Henderson, NC                                              	        45307	      45422	µSA	 504	-0.25%
Hereford, TX                                               	        19595	      19372	µSA	 702	+1.15%
Hickory-Lenoir-Morganton, NC                               	       364567	     365497	MSA	 130	-0.25%
Hilo, HI                                                   	       186738	     185079	µSA	 200	+0.90%
Hilton Head Island-Beaufort, SC                            	       189879	     187010	µSA	 198	+1.53%
Hobbs, NM                                                  	        65423	      64727	µSA	 408	+1.08%
Homosassa Springs, FL                                      	       140031	     141236	µSA	 259	-0.85%
Honolulu, HI                                               	       963607	     953207	MSA	  57	+1.09%
Hood River, OR                                             	        22493	      22346	µSA	 683	+0.66%
Hope, AR                                                   	        31558	      31606	µSA	 619	-0.15%
Hot Springs, AR                                            	        97124	      96024	MSA	 327	+1.15%
Houghton, MI                                               	        38811	      38784	µSA	 554	+0.07%
Houma-Bayou Cane-Thibodaux, LA                             	       208583	     208178	MSA	 183	+0.19%
Houston-Baytown-Huntsville, TX                             	      6191434	    6051363	CSA	   9	+2.31%	Houston-Sugar Land-Baytown, TX MSA | Huntsville, TX µSA | Bay City, TX µSA
Huntingdon, PA                                             	        45875	      45913	µSA	 497	-0.08%
Huntington-Ashland, WV-KY-OH                               	       287599	     287702	MSA	 146	-0.04%
Huntsville-Decatur, AL                                     	       579550	     571422	CSA	  87	+1.42%	Huntsville, AL MSA | Decatur, AL MSA
Huron, SD                                                  	        17550	      17398	µSA	 706	+0.87%
Hutchinson, KS                                             	        64607	      64511	µSA	 411	+0.15%
Idaho Falls-Blackfoot, ID                                  	       178025	     175981	CSA	 207	+1.16%	Idaho Falls, ID MSA | Blackfoot, ID µSA
Indiana, PA                                                	        89298	      88880	µSA	 342	+0.47%
Indianapolis-Anderson-Columbus, IN                         	      2103574	    2080782	CSA	  29	+1.10%	Indianapolis-Carmel, IN MSA | Anderson, IN MSA | Columbus, IN MSA | New Castle, IN µSA | Crawfordsville, IN µSA | North Vernon, IN µSA
Indianola, MS                                              	        29296	      29450	µSA	 633	-0.52%
Iowa City, IA                                              	       154893	     152586	MSA	 236	+1.51%
Iron Mountain, MI-WI                                       	        30625	      30591	µSA	 625	+0.11%
Ithaca-Cortland, NY                                        	       151086	     150900	CSA	 244	+0.12%	Ithaca, NY MSA | Cortland, NY µSA
Jackson, MI                                                	       159748	     160248	MSA	 230	-0.31%
Jackson, WY-ID                                             	        31714	      31464	µSA	 618	+0.79%
