fips	state	City Name                                      	Type	CBSA Parent
f24229	36   	Elmira, NY                                 	Cit  	21300
f24000	48   	El Paso, TX                                	Cit  	21340
f21275	20   	Emporia, KS                                	Cit  	21380
f23950	40   	Enid, OK                                   	Cit  	21420
f24184	01   	Enterprise, AL                             	Cit  	21460
f57648	01   	Ozark, AL                                  	Cit  	21460
f24000	42   	Erie, PA                                   	Cit  	21500
f26360	26   	Escanaba, MI                               	Cit  	21540
f25170	35   	Espanola, NM                               	Cit  	21580
f24568	01   	Eufaula, AL                                	Cit  	21640
f23850	41   	Eugene, OR                                 	Cit  	21660
f69600	41   	Springfield, OR                            	Cit  	21660
f23042	06   	Eureka, CA                                 	Cit  	21700
f02476	06   	Arcata, CA                                 	Cit  	21700
f25296	06   	Fortuna, CA                                	Cit  	21700
f25620	56   	Evanston, WY                               	Cit  	21740
f22000	18   	Evansville, IN                             	Cit  	21780
f24230	02   	Fairbanks, AK                              	Cit  	21820
f20330	27   	Fairmont, MN                               	Cit  	21860
f26452	54   	Fairmont, WV                               	Cit  	21900
f27964	72   	Fajardo, PR                                	Cit  	21940
f24100	32   	Fallon, NV                                 	Cit  	21980
f25700	38   	Fargo, ND                                  	Cit  	22020
f20546	27   	Faribault, MN                              	Cit  	22060
f46924	27   	Northfield, MN                             	Cit  	22060
f23752	29   	Farmington, MO                             	Cit  	22100
f25800	35   	Farmington, NM                             	Cit  	22140
f22920	37   	Fayetteville, NC                           	Cit  	22180
f23290	05   	Fayetteville, AR                           	Cit  	22220
f66080	05   	Springdale, AR                             	Cit  	22220
f60410	05   	Rogers, AR                                 	Cit  	22220
f05320	05   	Bentonville, AR                            	Cit  	22220
f20906	27   	Fergus Falls, MN                           	Cit  	22260
f24900	32   	Fernley, NV                                	Cit  	22280
f27048	39   	Findlay, OH                                	Cit  	22300
f29528	13   	Fitzgerald, GA                             	Cit  	22340
f23620	04   	Flagstaff, AZ                              	Cit  	22380
f29000	26   	Flint, MI                                  	Cit  	22420
f25810	45   	Florence, SC                               	Cit  	22500
f26896	01   	Florence, AL                               	Cit  	22520
f53016	01   	Muscle Shoals, AL                          	Cit  	22520
f26275	55   	Fond du Lac, WI                            	Cit  	22540
f24080	37   	Forest City, NC                            	Cit  	22580
f24430	05   	Forrest City, AR                           	Cit  	22620
f27425	08   	Fort Collins, CO                           	Cit  	22660
f46465	08   	Loveland, CO                               	Cit  	22660
f28515	19   	Fort Dodge, IA                             	Cit  	22700
f25264	29   	Fort Leonard Wood, MO                      	Cit  	22780
f28605	19   	Fort Madison, IA                           	Cit  	22800
f40845	19   	Keokuk, IA                                 	Cit  	22800
f27810	08   	Fort Morgan, CO                            	Cit  	22820
f27616	01   	Fort Payne, AL                             	Cit  	22840
f26757	22   	Fort Polk South, LA                        	Cit  	22860
f24550	05   	Fort Smith, AR                             	Cit  	22900
f31096	13   	Fort Valley, GA                            	Cit  	22980
f25000	18   	Fort Wayne, IN                             	Cit  	23060
f25324	18   	Frankfort, IN                              	Cit  	23140
f28900	21   	Frankfort, KY                              	Cit  	23180
f27348	48   	Fredericksburg, TX                         	Cit  	23240
f27884	17   	Freeport, IL                               	Cit  	23300
f17670	31   	Fremont, NE                                	Cit  	23340
f28826	39   	Fremont, OH                                	Cit  	23380
f27000	06   	Fresno, CA                                 	Cit  	23420
f28696	01   	Gadsden, AL                                	Cit  	23460
f28060	45   	Gaffney, SC                                	Cit  	23500
f25175	12   	Gainesville, FL                            	Cit  	23540
f31908	13   	Gainesville, GA                            	Cit  	23580
f27984	48   	Gainesville, TX                            	Cit  	23620
f28326	17   	Galesburg, IL                              	Cit  	23660
f28460	35   	Gallup, NM                                 	Cit  	23700
f25325	20   	Garden City, KS                            	Cit  	23780
f26500	32   	Gardnerville Ranchos, NV                   	Cit  	23820
f28870	45   	Georgetown, SC                             	Cit  	23860
f28960	42   	Gettysburg, PA                             	Cit  	23900
f31855	56   	Gillette, WY                               	Cit  	23940
f31114	21   	Glasgow, KY                                	Cit  	23980
f29333	36   	Glens Falls, NY                            	Cit  	24020
f29443	36   	Gloversville, NY                           	Cit  	24100
f26880	37   	Goldsboro, NC                              	Cit  	24140
f30416	48   	Granbury, TX                               	Cit  	24180
f32060	38   	Grand Forks, ND                            	Cit  	24220
f19595	31   	Grand Island, NE                           	Cit  	24260
f31660	08   	Grand Junction, CO                         	Cit  	24300
f34000	26   	Grand Rapids, MI                           	Cit  	24340
f88940	26   	Wyoming, MI                                	Cit  	24340
f30490	35   	Grants, NM                                 	Cit  	24380
f30550	41   	Grants Pass, OR                            	Cit  	24420
f28300	20   	Great Bend, KS                             	Cit  	24460
f32800	30   	Great Falls, MT                            	Cit  	24500
f32155	08   	Greeley, CO                                	Cit  	24540
f31000	55   	Green Bay, WI                              	Cit  	24580
f30980	47   	Greeneville, TN                            	Cit  	24620
f28000	37   	Greensboro, NC                             	Cit  	24660
f31400	37   	High Point, NC                             	Cit  	24660
f29718	18   	Greensburg, IN                             	Cit  	24700
f29180	28   	Greenville, MS                             	Cit  	24740
f28080	37   	Greenville, NC                             	Cit  	24780
f32340	39   	Greenville, OH                             	Cit  	24820
f30850	45   	Greenville, SC                             	Cit  	24860
f45115	45   	Mauldin, SC                                	Cit  	24860
f21985	45   	Easley, SC                                 	Cit  	24860
f29340	28   	Greenwood, MS                              	Cit  	24900
f30895	45   	Greenwood, SC                              	Cit  	24940
f29460	28   	Grenada, MS                                	Cit  	24980
f32221	72   	Guayama, PR                                	Cit  	25020
f29700	28   	Gulfport, MS                               	Cit  	25060
f06220	28   	Biloxi, MS                                 	Cit  	25060
f31750	40   	Guymon, OK                                 	Cit  	25100
f36075	24   	Hagerstown, MD                             	Cit  	25180
f52060	54   	Martinsburg, WV                            	Cit  	25180
f32755	22   	Hammond, LA                                	Cit  	25220
f31960	06   	Hanford, CA                                	Cit  	25260
f16224	06   	Corcoran, CA                               	Cit  	25260
f30214	29   	Hannibal, MO                               	Cit  	25300
f32520	47   	Harriman, TN                               	Cit  	25340
f33136	17   	Harrisburg, IL                             	Cit  	25380
f32800	42   	Harrisburg, PA                             	Cit  	25420
f11272	42   	Carlisle, PA                               	Cit  	25420
f30460	05   	Harrison, AR                               	Cit  	25460
f35624	51   	Harrisonburg, VA                           	Cit  	25500
f37000	09   	Hartford, CT                               	Cit  	25540
f82660	09   	West Hartford, CT                          	Cit  	25540
f22700	09   	East Hartford, CT                          	Cit  	25540
f47290	09   	Middletown, CT                             	Cit  	25540
f21415	31   	Hastings, NE                               	Cit  	25580
f31020	28   	Hattiesburg, MS                            	Cit  	25620
f35050	30   	Havre, MT                                  	Cit  	25660
f31100	20   	Hays, KS                                   	Cit  	25700
f34200	49   	Heber, UT                                  	Cit  	25720
f35600	30   	Helena, MT                                 	Cit  	25740
f31190	05   	Helena-West Helena, AR                     	Cit  	25760
f30660	37   	Henderson, NC                              	Cit  	25780
f33320	48   	Hereford, TX                               	Cit  	25820
f31060	37   	Hickory, NC                                	Cit  	25860
f37760	37   	Lenoir, NC                                 	Cit  	25860
f44400	37   	Morganton, NC                              	Cit  	25860
f14650	15   	Hilo, HI                                   	Cit  	25900
f34045	45   	Hilton Head Island, SC                     	Cit  	25940
f04690	45   	Beaufort, SC                               	Cit  	25940
f38964	13   	Hinesville, GA                             	Cit  	25980
f31068	13   	Fort Stewart, GA                           	Cit  	25980
f32520	35   	Hobbs, NM                                  	Cit  	26020
f38640	26   	Holland, MI (part)                         	Cit  	26100
f33340	26   	Grand Haven, MI                            	Cit  	26100
f32400	12   	Homosassa Springs, FL                      	Cit  	26140
f17000	15   	Honolulu, HI                               	Cit  	26180
f34900	41   	Hood River, OR                             	Cit  	26220
f33190	05   	Hope, AR                                   	Cit  	26260
f33400	05   	Hot Springs, AR                            	Cit  	26300
f39360	26   	Houghton, MI                               	Cit  	26340
f36255	22   	Houma, LA                                  	Cit  	26380
f05210	22   	Bayou Cane, LA                             	Cit  	26380
f75425	22   	Thibodaux, LA                              	Cit  	26380
f35000	48   	Houston, TX                                	Cit  	26420
f70808	48   	Sugar Land, TX                             	Cit  	26420
f06128	48   	Baytown, TX                                	Cit  	26420
f28068	48   	Galveston, TX                              	Cit  	26420
f16432	48   	Conroe, TX                                 	Cit  	26420
f35969	36   	Hudson, NY                                 	Cit  	26460
f36460	47   	Humboldt, TN                               	Cit  	26480
f36368	42   	Huntingdon, PA                             	Cit  	26500
f35302	18   	Huntington, IN                             	Cit  	26540
f02368	21   	Ashland, KY                                	Cit  	26580
f39460	54   	Huntington, WV                             	Cit  	26580
f37000	01   	Huntsville, AL                             	Cit  	26620
f35528	48   	Huntsville, TX                             	Cit  	26660
f31060	46   	Huron, SD                                  	Cit  	26700
f33625	20   	Hutchinson, KS                             	Cit  	26740
f30644	27   	Hutchinson, MN                             	Cit  	26780
