CLE04	Brotherhood Park	Cleveland, OH	04/30/1890	10/04/1890	62	41.48	-81.65	651
LOU01	Louisville Baseball Park	Louisville, KY	04/25/1876	09/29/1877	62	38.23	-85.76	461
ROC01	Culver Field I	Rochester, NY	04/28/1890	10/04/1890	57	43.15	-77.58	492
BOS02	Dartmouth Grounds	Boston, MA	04/30/1884	09/24/1884	57	42.32	-71.10	66
TOL01	League Park	Toledo, OH	05/14/1884	09/24/1884	54	41.65	-83.55	609
SYR02	Star Park II	Syracuse, NY	04/28/1890	10/04/1890	54	43.04	-76.15	395
BAL04	Belair Lot	Baltimore, MD	04/17/1884	09/24/1884	50	39.29	-76.60	25
SJU01	Estadio Hiram Bithorn	San Juan, PR	04/01/2001	06/30/2010	47	18.42	-66.07	10
IND02	Seventh Street Park I	Indianapolis, IN	05/14/1884	09/15/1885	45	39.79	-86.16	715
PEN01	Pendleton Park	Cincinnati, OH	04/25/1891	08/13/1891	45	39.12	-84.45	476
WAS01	Olympic Grounds	Washington, DC	05/05/1871	06/08/1875	44	38.91	-77.04	91
TRO02	Putnam Grounds	Troy, NY	05/28/1879	09/20/1879	41	42.73	-73.68	250
PHI03	Oakdale Park	Philadelphia, PA	05/02/1882	09/21/1882	39	39.99	-75.15	99
WAT01	Troy Ball Club Grounds	Watervliet, NY	05/20/1882	08/26/1882	38	42.73	-73.71	47
KAN01	Athletic Park	Kansas City, MO	06/07/1884	10/19/1884	36	39.08	-94.59	777
CHI05	South Side Park I	Chicago, IL	05/02/1884	08/01/1884	35	41.82	-87.62	599
PHI05	Keystone Park	Philadelphia, PA	04/17/1884	08/07/1884	35	39.93	-75.17	26
SYR01	Star Park I	Syracuse, NY	05/28/1879	09/10/1879	34	43.03	-76.15	392
NYC06	Metropolitan Park	New York, NY	05/13/1884	08/23/1884	33	40.79	-73.94	6
GLO01	Gloucester Point Grounds	Gloucester City, NJ	08/05/1888	10/12/1890	30	39.89	-75.13	19
WAS04	Athletic Park	Washington, DC	05/01/1884	08/02/1884	30	38.91	-77.02	85
NEW01	Howard Avenue Grounds	New Haven, CT	04/26/1875	09/22/1877	27	41.29	-72.93	63
MIL01	Milwaukee Base-Ball Grounds	Milwaukee, WI	05/14/1878	09/14/1878	25	43.04	-87.93	611
DET03	Burns Park	Detroit, MI	04/28/1901	09/07/1902	23	42.32	-83.13	590
RIC02	Allens Pasture	Richmond, VA	08/05/1884	10/15/1884	22	37.55	-77.46	205
IND01	South Street Park	Indianapolis, IN	05/01/1878	09/13/1878	22	39.76	-86.15	714
PIT03	Exposition Park II	Pittsburgh, PA	05/01/1883	08/30/1884	22	40.45	-80.01	729
PHI14	Huntingdon Grounds II	Philadelphia, PA	08/18/1894	09/06/1894	22	39.99	-75.16	98
MIL03	Borchert Field	Milwaukee, WI	09/10/1891	10/04/1891	20	43.07	-87.92	681
ALT01	Columbia Park	Altoona, PA	04/30/1884	05/31/1884	18	40.49	-78.41	1129
NYC02	Capitoline Grounds	Brooklyn, NY	05/06/1872	10/31/1872	18	40.68	-73.95	49
CHI01	White Stocking Grounds	Chicago, IL	05/08/1871	09/29/1871	17	41.88	-87.62	585
CLE01	National Association Grounds	Cleveland, OH	05/11/1871	08/19/1872	16	41.48	-81.65	674
JER02	Roosevelt Stadium	Jersey City, NJ	04/19/1956	09/03/1957	15	40.71	-74.10	10
MIL02	Wright Street Grounds	Milwaukee, WI	09/27/1884	09/25/1885	14	43.06	-87.93	687
NYC07	Grauer's Ridgewood Park	Queens, NY	05/02/1886	09/19/1886	14	40.70	-73.90	75
STL01	Red Stocking Base-Ball Park	St. Louis, MO	05/04/1875	07/04/1875	14	38.63	-90.23	462
NYC04	Polo Grounds II (Southwest Diamond)	New York, NY	05/30/1883	09/04/1883	13	40.80	-73.95	21
IND03	Bruce Grounds	Indianapolis, IN	05/18/1884	09/21/1884	11	39.80	-86.14	725
FOR01	Grand Duchess	Fort Wayne, IN	05/04/1871	08/29/1871	9	41.08	-85.16	759
PHI02	Centennial Park	Philadelphia, PA	04/21/1875	06/04/1875	8	39.98	-75.17	104
TOK01	Tokyo Dome	Tokyo, JAP	03/29/2000	03/29/2012	8	35.71	139.75	57
KEO01	Perry Park	Keokuk, IA	05/04/1875	06/14/1875	8	40.41	-91.39	641
ALB01	Riverside Park	Albany, NY	09/11/1880	05/30/1882	7	42.64	-73.75	14
MID01	Mansfield Club Grounds	Middletown, CT	05/02/1872	07/27/1872	7	41.56	-72.63	105
WIL01	Union Street Park	Wilmington, DE	09/02/1884	09/10/1884	7	39.75	-75.57	150
WNY01	West New York Field Club Grounds	West New York, NJ	09/11/1898	09/17/1899	7	40.77	-74.02	175
WAV01	Waverly Fairgrounds	Waverly, NJ	04/28/1873	07/23/1873	7	40.70	-74.20	18
WAS02	National Grounds	Washington, DC	04/20/1872	05/25/1872	7	38.91	-77.04	89
LAS01	Cashman Field	Las Vegas, NV	04/01/1996	04/07/1996	6	36.18	-115.13	1907
IND06	Indianapolis Park	Indianapolis, IN	07/28/1890	08/02/1890	6	39.77	-86.13	742
LBV01	Champion Stadium	Lake Buena Vista, FL	05/15/2007	04/24/2008	6	28.34	-81.56	98
PHI08	University of Penn. Athletic Field	Philadelphia, PA	08/11/1894	08/17/1894	6	39.95	-75.20	77
