lansfca01	lansfca01h	0	1	1	1998			0	1
bartedi01	bartedi01h	0	1	4	1948			0	1|0|0|0
milancl01	milancl01h	0	2	7	1938			0	0|1|0|0|0|1|2
belleal01	belleal01h	0	8	2	2006			0	8|3
parkeda01	parkeda01h	0	25	15	1997			0	18|25|16|21|16|14|10|10|13|15|11|15|15|15|15
conceda01	conceda01h	0	17	15	1994			0	7|9|13|13|17|12|13|14|12|11|11|11|13|14|16
sandere02	sandere02h	0	0	1	2013			0	0
willsma01	willsma01h	0	41	15	1978			0	30|38|38|41|22|21|26|24|29|27|30|21|21|14|26
parrila02	parrila02h	0	2	1	2001			0	2
stanked01	stanked01h	0	1	1	1960			0	1
bushdo01	bushdo01h	0	1	6	1937			0	0|1|1|0|1|0
burnsge01	burnsge01h	0	1	5	1937			0	1|1|0|1|1
petrori01	petrori01h	0	1	1	1982			0	1
daubeja01	daubeja01h	0	1	6	1936			0	1|1|0|0|0|0
bennech01	bennech01h	0	4	1	1936			0	4
powelbo01	powelbo01h	0	1	1	1983			0	1
wilsoha01	wilsoha01h	1	38	16	1937	1979	Veterans	0	0|0|0|2|16|10|9|9|16|19|32|38|35|27|24
oneilpa01	oneilpa01h	0	2	1	2007			0	2
davisha01	davisha01h	0	1	2	1945			0	0|1
baineha01	baineha01h	0	6	5	2007			0	5|5|6|6|5
gonzaju03	gonzaju03h	0	5	2	2011			0	5|4
smithlo01	smithlo01h	0	0	1	2000			0	0
callijo01	callijo01h	0	0	1	1979			0	0
hrbekke01	hrbekke01h	0	1	1	2000			0	1
wallati01	wallati01h	0	0	1	2002			0	0
gibsoki01	gibsoki01h	0	3	1	2001			0	3
marisro01	marisro01h	0	43	15	1974			0	21|19|22|21|22|29|29|23|17|18|27|32|42|43|43
turnete01	turnete01h	0	1	1	1947			0	1
davisch01	davisch01h	0	1	1	2005			0	1
lankfra01	lankfra01h	0	0	1	2010			0	0
madlobi01	madlobi01h	0	4	1	1993			0	4
blairpa01	blairpa01h	0	2	1	1986			0	2
garvest01	garvest01h	0	43	15	1993			0	42|36|43|37|35|41|30|32|34|28|28|24|21|26|21
howarfr01	howarfr01h	0	1	1	1979			0	1
kellge01	kellge01h	1	37	14	1964	1983	Veterans	0	16|10|14|17|18|30|29|29|30|26|31|33|37
mcauldi01	mcauldi01h	0	0	1	1981			0	0
bishoma01	bishoma01h	0	2	4	1955			0	0|1|2|2
bradlbi01	bradlbi01h	0	2	6	1936			0	0|2|1|0|0|0
willicy01	willicy01h	0	6	13	1938			0	0|0|1|1|5|3|2|2|2|1|6|2|4
longhe01	longhe01h	0	19	6	1936			0	19|0|0|0|0|0
dunlafr01	dunlafr01h	0	3	1	1936			0	3
bellja01	bellja01h	0	0	1	2009			0	0
bakerdu01	bakerdu01h	0	1	1	1992			0	1
pafkoan01	pafkoan01h	0	1	2	1966			0	1|0
groatdi01	groatdi01h	0	2	6	1973			0	2|1|1|2|1|1
bluelu01	bluelu01h	0	0	1	1954			0	0
maddoga01	maddoga01h	0	0	1	1992			0	0
scottge02	scottge02h	0	0	2	1985			0	0|0
moneydo01	moneydo01h	0	0	1	1989			0	0
traynpi01	traynpi01h	1	77	8	1936	1948	BBWAA	0	7|1|4|19|33|32|74|77
