	KMY	KMY	Moser Bay Seaplane Base	Moser Bay	                       16
		76Z	Nakeen Airport	Nakeen
		78Z	Nancy Lake Seaplane Base	Nancy Lake
		WWT	Newtok Seaplane Base	Newtok
	NIN	NIN	Ninilchik Airport	Ninilchik
		94Z	Nome City Field	Nome
		95Z	Bradley Sky-Ranch Airport	North Pole
	KOY	KOY	Olga Bay Seaplane Base	Olga Bay	                       18
		AK1	Butte Municipal Airport	Palmer
		99Z	Finger Lake Seaplane Base	Palmer
		2D3	Gooding Lake Seaplane Base	Palmer
PAXK		PXK	Paxson Airport	Paxson
	PYL	PYL	Perry Island Seaplane Base	Perry Island
	UGB	UGB	Ugashik Bay Airport	Pilot Point	                      187
		AK11	Point McIntyre Airport	Point McIntyre
	PTC	16K	Port Alice Seaplane Base	Port Alice
	KPY	KPY	Port Bailey Seaplane Base	Port Bailey	                       11
	PWR	PWR	Port Walter Seaplane Base	Port Walter
	KPR	KPR	Port Williams Seaplane Base	Port William	                       12
		01A	Purkeypile Airport	Purkeypile
		20K	Quail Creek Airport	Quail Creek
		5QC	Quartz Creek (Kougarok) Airport	Quartz Creek
		6AK	Rainy Pass Lodge Airport	Rainy Pass
	SGW	A23	Saginaw Seaplane Base	Saginaw Bay	                      418
		Z81	Salmon Lake Airport	Salmon Lake
	WSJ	WSJ	San Juan (Uganik) Seaplane Base	San Juan
	SYB		Seal Bay Seaplane Base	Seal Bay
		A27	Seldovia Seaplane Base	Seldovia
PASP	SMU	SMU	Sheep Mountain Airport	Sheep Mountain	                       25
		L85	Mackeys Lakes Seaplane Base	Soldotna
		36H	Squaw Harbor Seaplane Base	Squaw Harbor
	WSB	WSB	Steamboat Bay Seaplane Base	Steamboat Bay
PAST	UMM	UMM	Summit Airport	Summit
		A43	Taku Harbor Seaplane Base	Taku Harbor
	TKL	TKL	Taku Lodge Seaplane Base	Taku Lodge
		AK8	Christiansen Lake Seaplane Base	Talkeetna
	TSG	TSG	Tanacross Airport	Tanacross	                       97
		8KA	Tatitna Airport	Tatitna
		Z14	Tazlina Airport	Tazlina
		5AK	Tazlina (Smokey Lake) Seaplane Base	Tazlina
		K55	Thompson Pass Airport	Thompson Pass
	TKI	57A	Tokeen Seaplane Base	Tokeen
		58A	Tolsona Lake Seaplane Base	Tolsona Lake
		9AK	Totatlanika River Airport	Totatlanika River
		Z20	Tuntutuliak Seaplane Base	Tuntutuliak
	WNC	AK62	Naukati Bay Seaplane Base (was Nichin Cove Seaplane Base)	Tuxekan Island
PAUM	UMT	UMT	Umiat Airport	Umiat	                      107
		L93	Robe Lake Seaplane Base	Valdez
		6A7	Brocker Lake Seaplane Base	Wasilla
		D75	Blodget Lake Seaplane Base	Wasilla
		3H3	Cottonwood Lake Seaplane Base	Wasilla
		29A	Island Lake Seaplane Base	Wasilla
		4A3	Lake Lucille Seaplane Base	Wasilla
		4AK0	Niklason Lake Seaplane Base	Wasilla
		3A3	Seymour Lake Seaplane Base	Wasilla
		3K9	Upper Wasilla Lake Seaplane Base	Wasilla
		T66	Visnaw Lake Seaplane Base	Wasilla
		5L6	Wasilla Lake Seaplane Base	Wasilla
	KWF	KWF	Waterfall Seaplane Base	Waterfall	                     1079
	KWP	KWP	West Point Village Seaplane Base	West Point	                       34
		MFN	Minuteman Lake Seaplane Base	Willow
		2X2	Willow Seaplane Base	Willow
		A57	Alsek River Airport	Yakutat
		AK76	East Alsek River Airport	Yakutat
		A67	Harlequin Lake Airport	Yakutat
		A68	Situk Airport	Yakutat
		A69	Tanis Mesa Airport	Yakutat
		A70	Dangerous River Airport	Yakutat
		A77	Yankee Creek Airport	Yankee Creek
	WYB	78K	Yes Bay Lodge Seaplane Base	Yes Bay	                       40
		L20	Coal Creek Airport	Yukon Charley Rivers
	KZB		Zachar Bay Seaplane Base	Zachar Bay

PAED	EDF	EDF	Elmendorf Air Force Base	Anchorage	                     1701
		CSR	Campbell Airstrip	Anchorage
PAAT	ATU	ATU	Casco Cove Coast Guard Station	Attu Island	                       14
PABM	BMX	37AK	Big Mountain Air Force Station (Radio Relay Site)	Big Mountain	                        2
	BSW	AK97	Boswell Bay Airport (U.S. Forest Service)	Boswell Bay
PALU	LUR	LUR	Cape Lisburne LRRS Airport	Cape Lisburne	                      200
PAEH	EHM	EHM	Cape Newenham LRRS Airport	Cape Newenham	                      148
PACZ	CZF	CZF	Cape Romanzof LRRS Airport	Cape Romanzof	                      145
PACS		26AK	Cape Sarichef Airport (Radio Relay Site)	Cape Sarichef
PACA	CSP	CSP	Cape Spencer Coast Guard Heliport	Cape Spencer
PAAL	PML	1AK3	Port Moller Airport (formerly Air Force Station)	Cold Bay	                      446
PABI	BIG	BIG	Allen Army Airfield (was Big Delta Army Airfield)	Delta Junction / Fort Greely	                       22
PAAM		AK23	Driftwood Bay Air Force Station	Dutch Harbor
PAEI	EIL	EIL	Eielson Air Force Base	Fairbanks	                     1735
PAFB	FBK	FBK	Ladd Army Airfield (Fort Wainwright AAF)	Fairbanks / Fort Wainwright	                      563
PAFV	FMC	FVM	Five Mile Airport	Five Mile
PAFR	FRN	FRN	Bryant Army Heliport (has a runway)	Fort Richardson
	GMT	GSZ	Granite Mountain Air Station	Granite Mountain	                       11
PAIM	UTO	UTO	Indian Mountain LRRS Airport	Indian Mountain	                      173
