Name                                                     	Type	   id	Parent	Children
Milwaukee-Racine-Waukesha, WI                                	CSA	  376		33340: Milwaukee-Waukesha-West Allis, WI MSA | 39540: Racine, WI MSA
Minneapolis-St. Paul-St. Cloud, MN-WI                        	CSA	  378		22060: Faribault-Northfield, MN µSA | 26780: Hutchinson, MN µSA | 33460: Minneapolis-St. Paul-Bloomington, MN-WI MSA | 39860: Red Wing, MN µSA | 41060: St. Cloud, MN MSA
Mobile-Daphne-Fairhope, AL                                   	CSA	  380		19300: Daphne-Fairhope-Foley, AL µSA | 33660: Mobile, AL MSA
Monroe-Bastrop, LA                                           	CSA	  384		12820: Bastrop, LA µSA | 33740: Monroe, LA MSA
Montgomery-Alexander City, AL                                	CSA	  388		10760: Alexander City, AL µSA | 33860: Montgomery, AL MSA
Myrtle Beach-Conway-Georgetown, SC                           	CSA	  396		23860: Georgetown, SC µSA | 34820: Myrtle Beach-North Myrtle Beach-Conway, SC MSA
Nashville+Davidson-Murfreesboro-Columbia, TN               	CSA	  400		17940: Columbia, TN µSA | 34980: Nashville+Davidson-Murfreesboro-Franklin, TN MSA
New Orleans-Metairie-Bogalusa, LA                            	CSA	  406		14220: Bogalusa, LA µSA | 35380: New Orleans-Metairie-Kenner, LA MSA
New York-Newark-Bridgeport, NY-NJ-CT-PA                      	CSA	  408		14860: Bridgeport-Stamford-Norwalk, CT MSA | 28740: Kingston, NY MSA | 35300: New Haven-Milford, CT MSA | 35620: New York-Northern New Jersey-Long Island, NY-NJ-PA MSA | 39100: Poughkeepsie-Newburgh-Middletown, NY MSA | 45860: Torrington, CT µSA | 45940: Trenton-Ewing, NJ MSA
Oklahoma City-Shawnee, OK                                    	CSA	  416		36420: Oklahoma City, OK MSA | 43060: Shawnee, OK µSA
Omaha-Council Bluffs-Fremont, NE-IA                          	CSA	  420		23340: Fremont, NE µSA | 36540: Omaha-Council Bluffs, NE-IA MSA
Orlando-Deltona-Daytona Beach, FL                            	CSA	  422		19660: Deltona-Daytona Beach-Ormond Beach, FL MSA | 36740: Orlando-Kissimmee-Sanford, FL MSA | 37380: Palm Coast, FL MSA | 45540: The Villages, FL µSA
Paducah-Mayfield, KY-IL                                      	CSA	  424		32460: Mayfield, KY µSA | 37140: Paducah, KY-IL µSA
Peoria-Canton, IL                                            	CSA	  426		15900: Canton, IL µSA | 37900: Peoria, IL MSA
Philadelphia-Camden-Vineland, PA-NJ-DE-MD                    	CSA	  428		37980: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA | 39740: Reading, PA MSA  | 47220: Vineland-Millville-Bridgeton, NJ MSA
Pittsburgh-New Castle, PA                                    	CSA	  430		35260: New Castle, PA µSA | 38300: Pittsburgh, PA MSA
Port St. Lucie-Sebastian-Vero Beach, FL                      	CSA	  442		38940: Port St. Lucie, FL MSA | 42680: Sebastian-Vero Beach, FL MSA
Portland-Lewiston-South Portland, ME                         	CSA	  438		30340: Lewiston-Auburn, ME MSA | 38860: Portland-South Portland-Biddeford, ME MSA
Raleigh-Durham-Cary, NC                                      	CSA	  450		20380: Dunn, NC µSA | 20500: Durham-Chapel Hill, NC MSA | 39580: Raleigh-Cary, NC MSA
Reno-Sparks-Fernley, NV                                      	CSA	  456		22280: Fernley, NV µSA | 39900: Reno-Sparks, NV MSA
Rochester-Batavia-Seneca Falls, NY                           	CSA	  464		12860: Batavia, NY µSA | 40380: Rochester, NY MSA | 42900: Seneca Falls, NY µSA
Rockford-Freeport-Rochelle, IL                               	CSA	  466		23300: Freeport, IL µSA | 40300: Rochelle, IL µSA | 40420: Rockford, IL MSA
Sacramento-Arden+Arcade-Yuba City, CA-NV                   	CSA	  472		23820: Gardnerville Ranchos, NV µSA | 40900: Sacramento-Arden+Arcade-Roseville, CA MSA | 46020: Truckee-Grass Valley, CA µSA | 49700: Yuba City, CA MSA
Saginaw-Bay City-Saginaw Township North, MI                  	CSA	  474		13020: Bay City, MI MSA | 40980: Saginaw-Saginaw Township North, MI MSA
Salisbury-Ocean Pines, MD                                    	CSA	  480		36180: Ocean Pines, MD µSA | 41540: Salisbury, MD MSA
Salt Lake City-Ogden-Clearfield, UT                          	CSA	  482		14940: Brigham City, UT µSA | 25720: Heber, UT µSA | 36260: Ogden-Clearfield, UT MSA | 41620: Salt Lake City, UT MSA
San Jose-San Francisco-Oakland, CA                           	CSA	  488		34900: Napa, CA MSA | 41860: San Francisco-Oakland-Fremont, CA MSA | 41940: San Jose-Sunnyvale-Santa Clara, CA MSA | 42100: Santa Cruz-Watsonville, CA MSA | 42220: Santa Rosa-Petaluma, CA MSA | 46700: Vallejo-Fairfield, CA MSA
Santa Fe-Espanola, NM                                        	CSA	  492		21580: Espanola, NM µSA | 42140: Santa Fe, NM MSA
Sarasota-Bradenton-Punta Gorda, FL                           	CSA	  494		35840: North Port-Bradenton-Sarasota, FL MSA | 39460: Punta Gorda, FL MSA
Savannah-Hinesville-Fort Stewart, GA                         	CSA	  496		25980: Hinesville-Fort Stewart, GA MSA | 42340: Savannah, GA MSA
Seattle-Tacoma-Olympia, WA                                   	CSA	  500		14740: Bremerton-Silverdale, WA MSA | 34580: Mount Vernon-Anacortes, WA MSA | 36020: Oak Harbor, WA µSA | 36500: Olympia, WA MSA | 42660: Seattle-Tacoma-Bellevue, WA MSA | 43220: Shelton, WA µSA
Shreveport-Bossier City-Minden, LA                           	CSA	  508		33380: Minden, LA µSA | 43340: Shreveport-Bossier City, LA MSA
Sioux City-Vermillion, IA-NE-SD                              	CSA	  512		43580: Sioux City, IA-NE-SD MSA | 46820: Vermillion, SD µSA
South Bend-Elkhart-Mishawaka, IN-MI                          	CSA	  515		21140: Elkhart-Goshen, IN MSA | 38500: Plymouth, IN µSA | 43780: South Bend-Mishawaka, IN-MI MSA
St. Louis-St. Charles-Farmington, MO-IL                      	CSA	  476		22100: Farmington, MO µSA | 41180: St. Louis, MO-IL MSA
Sunbury-Lewisburg-Selinsgrove, PA                            	CSA	  526		30260: Lewisburg, PA µSA | 42780: Selinsgrove, PA µSA | 44980: Sunbury, PA µSA
Syracuse-Auburn, NY                                          	CSA	  532		12180: Auburn, NY µSA | 45060: Syracuse, NY MSA
Toledo-Fremont, OH                                           	CSA	  534		23380: Fremont, OH µSA | 45780: Toledo, OH MSA
Tulsa-Bartlesville, OK                                       	CSA	  538		12780: Bartlesville, OK µSA | 46140: Tulsa, OK MSA
Tyler-Jacksonville, TX                                       	CSA	  540		27380: Jacksonville, TX µSA | 46340: Tyler, TX MSA
Union City-Martin, TN-KY                                     	CSA	  542		32280: Martin, TN µSA | 46460: Union City, TN-KY µSA
Washington-Baltimore-Northern Virginia, DC-MD-VA-WV          	CSA	  548		12580: Baltimore-Towson, MD MSA | 19020: Culpeper, VA µSA | 30500: Lexington Park, MD µSA | 47900: Washington-Arlington-Alexandria, DC-VA-MD-WV MSA | 49020: Winchester, VA-WV MSA
Wausau-Merrill, WI                                           	CSA	  554		32980: Merrill, WI µSA | 48140: Wausau, WI MSA
Wichita-Winfield, KS                                         	CSA	  556		48620: Wichita, KS MSA | 49060: Winfield, KS µSA
Williamsport-Lock Haven, PA                                  	CSA	  558		30820: Lock Haven, PA µSA | 48700: Williamsport, PA MSA
York-Hanover-Gettysburg, PA                                  	CSA	  564		23900: Gettysburg, PA µSA | 49620: York-Hanover, PA MSA
Youngstown-Warren-East Liverpool, OH-PA                      	CSA	  566		20620: East Liverpool-Salem, OH µSA | 49660: Youngstown-Warren-Boardman, OH-PA MSA
										
Mayagüez-San Germán-Cabo Rojo, PR                            	CSA	  364		32420: Mayagüez, PR MSA | 41900: San Germán-Cabo Rojo, PR MSA
Ponce-Yauco-Coamo, PR                                        	CSA	  434		17620: Coamo, PR µSA | 38660: Ponce, PR MSA | 42180: Santa Isabel, PR µSA | 49500: Yauco, PR MSA
San Juan-Caguas-Fajardo, PR                                  	CSA	  490		21940: Fajardo, PR MSA | 41980: San Juan-Caguas-Guaynabo, PR MSA | 46580: Utuado, PR µSA
									  	
Abilene, TX                                                  	MSA	10180		48059: Callahan County, TX | 48253: Jones County, TX | 48441: Taylor County, TX
Aguadilla-Isabela-San Sebastián, PR                          	MSA	10380		72003: Aguada Municipio, PR | 72005: Aguadilla Municipio, PR | 72011: Añasco Municipio, PR | 72071: Isabela Municipio, PR | 72081: Lares Municipio, PR | 72099: Moca Municipio, PR | 72117: Rincón Municipio, PR | 72131: San Sebastián Municipio, PR
Akron, OH                                                    	MSA	10420		39133: Portage County, OH | 39153: Summit County, OH
Albany, GA                                                   	MSA	10500		13007: Baker County, GA | 13095: Dougherty County, GA | 13177: Lee County, GA | 13273: Terrell County, GA | 13321: Worth County, GA
Albany-Schenectady-Troy, NY                                  	MSA	10580		36001: Albany County, NY | 36083: Rensselaer County, NY | 36091: Saratoga County, NY | 36093: Schenectady County, NY | 36095: Schoharie County, NY
Albuquerque, NM                                              	MSA	10740		35001: Bernalillo County, NM | 35043: Sandoval County, NM | 35057: Torrance County, NM | 35061: Valencia County, NM
Alexandria, LA                                               	MSA	10780		22043: Grant Parish, LA | 22079: Rapides Parish, LA
Allentown-Bethlehem-Easton, PA-NJ                            	MSA	10900		34041: Warren County, NJ | 42025: Carbon County, PA | 42077: Lehigh County, PA | 42095: Northampton County, PA
Altoona, PA                                                  	MSA	11020		42013: Blair County, PA
Amarillo, TX                                                 	MSA	11100		48011: Armstrong County, TX | 48065: Carson County, TX | 48375: Potter County, TX | 48381: Randall County, TX
Ames, IA                                                     	MSA	11180		19169: Story County, IA
Anchorage, AK                                                	MSA	11260		02020: Anchorage Municipality, AK | 02170: Matanuska-Susitna Borough, AK
Anderson, IN                                                 	MSA	11300		18095: Madison County, IN
Anderson, SC                                                 	MSA	11340		45007: Anderson County, SC
Ann Arbor, MI                                                	MSA	11460		26161: Washtenaw County, MI
Anniston-Oxford, AL                                          	MSA	11500		01015: Calhoun County, AL
Appleton, WI                                                 	MSA	11540		55015: Calumet County, WI | 55087: Outagamie County, WI
Asheville, NC                                                	MSA	11700		37021: Buncombe County, NC | 37087: Haywood County, NC | 37089: Henderson County, NC | 37115: Madison County, NC
Athens-Clarke County, GA                                     	MSA	12020		13059: Clarke County, GA | 13195: Madison County, GA | 13219: Oconee County, GA | 13221: Oglethorpe County, GA
Atlanta-Sandy Springs-Marietta, GA                           	MSA	12060		13013: Barrow County, GA | 13015: Bartow County, GA | 13035: Butts County, GA | 13045: Carroll County, GA | 13057: Cherokee County, GA | 13063: Clayton County, GA | 13067: Cobb County, GA | 13077: Coweta County, GA | 13085: Dawson County, GA | 13089: DeKalb County, GA | 13097: Douglas County, GA | 13113: Fayette County, GA | 13117: Forsyth County, GA | 13121: Fulton County, GA | 13135: Gwinnett County, GA | 13143: Haralson County, GA | 13149: Heard County, GA | 13151: Henry County, GA | 13159: Jasper County, GA | 13171: Lamar County, GA | 13199: Meriwether County, GA | 13217: Newton County, GA | 13223: Paulding County, GA | 13227: Pickens County, GA | 13231: Pike County, GA | 13247: Rockdale County, GA | 13255: Spalding County, GA | 13297: Walton County, GA
Atlantic City-Hammonton, NJ                                  	MSA	12100		34001: Atlantic County, NJ
Auburn-Opelika, AL                                           	MSA	12220		01081: Lee County, AL
Augusta-Richmond County, GA-SC                               	MSA	12260		13033: Burke County, GA | 13073: Columbia County, GA | 13189: McDuffie County, GA | 13245: Richmond County, GA | 45003: Aiken County, SC | 45037: Edgefield County, SC
