150	Ocala, FL	MSA	337362	331298	1.83	
151	Kalamazoo-Portage, MI	MSA	332180	326589	1.71	Kalamazoo-Battle Creek-Portage, MI CSA
152	Spartanburg, SC	MSA	318999	313268	1.83	Greenville-Spartanburg-Anderson, SC CSA
153	South Bend-Mishawaka, IN-MI	MSA	318619	319224	-0.19	South Bend-Elkhart-Mishawaka, IN-MI CSA
154	Columbus, GA-AL	MSA	316554	294865	7.36	Columbus-Auburn-Opelika, GA-AL CSA
155	Fort Collins, CO	MSA	315988	299630	5.46	
156	Evansville, IN-KY	MSA	314280	311552	0.88	
157	Lincoln, NE	MSA	314125	302157	3.96	Lincoln-Beatrice, NE CSA
158	Green Bay, WI	MSA	312409	306241	2.01	Green Bay-Shawano, WI CSA
159	Roanoke, VA	MSA	311835	308707	1.01	
160	Boulder, CO	MSA	310048	294567	5.26	Denver-Aurora, CO CSA
161	Kingsport-Bristol-Bristol, TN-VA	MSA	309283	309544	-0.08	Johnson City-Kingsport-Bristol, TN-VA CSA
162	Lubbock, TX	MSA	301038	290805	3.52	Lubbock-Levelland, TX CSA
163	Utica-Rome, NY	MSA	297766	299397	-0.54	
164	Erie, PA	MSA	280294	280566	-0.10	Erie-Meadville, PA CSA
165	Fort Smith, AR-OK	MSA	279974	280467	-0.18	
166	Duluth, MN-WI	MSA	279887	279771	0.04	
167	San Luis Obispo-Paso Robles-Arroyo Grande, CA	MSA	276443	269637	2.52	
168	Atlantic City-Hammonton, NJ	MSA	275862	274549	0.48	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
169	Norwich-New London, CT	MSA	274150	274055	0.03	Hartford-West Hartford, CT CSA
170	Clarksville, TN-KY	MSA	272579	260625	4.59	
171	Kennewick-Richland, WA	MSA	271124	253340	7.02	
172	Gainesville, FL	MSA	270382	264275	2.31	Gainesville-Lake City, FL CSA
173	Greeley, CO	MSA	269785	252825	6.71	Denver-Aurora, CO CSA
174	Santa Cruz-Watsonville, CA	MSA	269419	262382	2.68	San Jose-San Francisco-Oakland, CA CSA
175	Wilmington, NC	MSA	268601	254884	5.38	
176	Merced, CA	MSA	263228	255793	2.91	Modesto-Merced, CA CSA
177	Laredo, TX	MSA	262495	250304	4.87	
178	Cedar Rapids, IA	MSA	262421	257940	1.74	Cedar Rapids-Iowa City, IA CSA
179	Olympia-Tumwater, WA	MSA	262388	252264	4.01	Seattle-Tacoma, WA CSA
180	Waco, TX	MSA	258974	252772	2.45	
181	Hagerstown-Martinsburg, MD-WV	MSA	258294	251599	2.66	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
