Rank	Name                                                    	Population	Area km^2	pop/km^2
 404	DeKalb, IL                                              	     68545	    66.8	  1026.3
 405	West Bend, WI                                           	     68444	    99.7	   686.6
 406	Rocky Mount, NC                                         	     68243	   119.0	   573.2
 407	Elmira, NY                                              	     67983	    97.9	   694.4
 408	Carbondale, IL                                          	     67821	   126.1	   538.0
 409	Dubuque, IA--IL                                         	     67818	    87.5	   774.9
 410	Hammond, LA                                             	     67629	   198.5	   340.7
 411	Parkersburg, WV--OH                                     	     67229	   109.8	   612.4
 412	Wenatchee, WA                                           	     67227	    81.3	   827.3
 413	Harrisonburg, VA                                        	     66784	    84.3	   792.2
 414	Cleveland, TN                                           	     66777	   141.4	   472.2
 415	Zephyrhills, FL                                         	     66609	   112.7	   591.3
 416	Hanover, PA                                             	     66301	    93.5	   709.2
 417	Monessen--California, PA                                	     66086	   115.8	   570.6
 418	Michigan City--La Porte, IN--MI                         	     66025	   100.9	   654.4
 419	Glens Falls, NY                                         	     65443	   107.6	   608.1
 420	Jonesboro, AR                                           	     65419	   121.6	   538.0
 421	Conway, AR                                              	     65277	   102.8	   634.9
 422	Great Falls, MT                                         	     65207	    80.6	   809.2
 423	El Paso de Robles (Paso Robles)--Atascadero, CA         	     65088	    81.4	   799.2
 424	Casper, WY                                              	     64548	    78.6	   821.4
 425	Fairbanks, AK                                           	     64513	   142.8	   451.9
 426	Gadsden, AL                                             	     64172	   186.6	   343.9
 427	Saratoga Springs, NY                                    	     64100	   117.8	   544.1
 428	Petaluma, CA                                            	     64078	    55.2	  1161.2
 429	Twin Rivers--Hightstown, NJ                             	     64037	    91.3	   701.7
 430	Beckley, WV                                             	     64022	   157.9	   405.4
 431	Longview, WA--OR                                        	     63952	    85.1	   751.4
 432	Beloit, WI--IL                                          	     63835	    89.0	   717.5
 433	Los Lunas, NM                                           	     63758	   179.4	   355.4
 434	Victoria, TX                                            	     63683	    75.2	   847.2
 435	Mount Vernon, WA                                        	     62966	    89.3	   705.3
 436	Corvallis, OR                                           	     62433	    54.7	  1141.7
 437	Kokomo, IN                                              	     62182	    93.9	   662.0
 438	Sherman, TX                                             	     61900	    93.1	   665.2
 439	Sebring--Avon Park, FL                                  	     61625	   119.6	   515.3
 440	Grand Forks, ND--MN                                     	     61270	    63.3	   967.8
 441	Bangor, ME                                              	     61210	   110.1	   556.0
 442	Goldsboro, NC                                           	     61054	   137.0	   445.5
 443	Benton Harbor--St. Joseph--Fair Plain, MI               	     61022	   120.9	   504.8
 444	Rome, GA                                                	     60851	   123.5	   492.9
 445	Ames, IA                                                	     60438	    60.2	  1004.5
 446	Lewiston, ME                                            	     59397	    91.7	   647.9
 447	San Luis Obispo, CA                                     	     59219	    52.9	  1120.1
 448	Pittsfield, MA                                          	     59124	    86.8	   681.4
 449	Morristown, TN                                          	     59036	   155.0	   380.9
 450	Midland, MI                                             	     59014	   116.2	   507.8
 451	Lexington Park--California--Chesapeake Ranch Estates, MD	     58875	   129.3	   455.2
 452	Jefferson City, MO                                      	     58533	   103.6	   565.1
 453	Middletown, NY                                          	     58381	    81.1	   719.8
 454	Carson City, NV                                         	     58079	    59.8	   971.3
 455	Watertown, NY                                           	     57840	   106.0	   545.5
 456	Mankato, MN                                             	     57584	    68.3	   843.0
 457	Kingston, NY                                            	     57442	   110.9	   517.7
 458	Daphne--Fairhope, AL                                    	     57383	   143.1	   401.0
 459	Albany, OR                                              	     56997	    62.1	   918.4
 460	Hazleton, PA                                            	     56827	    80.9	   702.5
 461	Staunton--Waynesboro, VA                                	     56611	    98.8	   573.2
 462	Williamsport, PA                                        	     56142	    68.6	   818.0
 463	Kahului, HI                                             	     55934	    43.2	  1294.9
 464	Walla Walla, WA--OR                                     	     55805	    71.7	   778.8
 465	Woodland, CA                                            	     55513	    31.6	  1757.1
 466	Hot Springs, AR                                         	     55121	   116.4	   473.7
 467	Columbus, IN                                            	     54933	    70.6	   778.3
 468	Fond du Lac, WI                                         	     54901	    74.7	   734.7
 469	Manhattan, KS                                           	     54622	    53.6	  1018.2
 470	Titusville, FL                                          	     54386	    77.9	   698.3
 471	Delano, CA                                              	     54372	    25.7	  2116.9
 472	East Stroudsburg, PA--NJ                                	     54316	   134.9	   402.5
 473	Ithaca, NY                                              	     53661	    63.7	   842.9
 474	Bloomsburg--Berwick, PA                                 	     53618	    84.7	   633.4
 475	Pine Bluff, AR                                          	     53495	    96.3	   555.5
 476	Lake Havasu City, AZ                                    	     53427	    76.5	   698.3
 477	Farmington, NM                                          	     53049	    90.4	   587.1
 478	Cape Girardeau, MO--IL                                  	     52900	    90.7	   583.0
 479	San Marcos, TX                                          	     52826	    68.9	   767.2
 480	Sierra Vista, AZ                                        	     52745	    78.4	   672.6
 481	Cartersville, GA                                        	     52477	   131.1	   400.4
 482	Arroyo Grande--Grover Beach, CA                         	     52000	    59.6	   872.2
 483	Lewiston, ID--WA                                        	     51924	    73.1	   710.4
 484	Cumberland, MD--WV--PA                                  	     51899	    84.5	   614.1
 485	Lompoc, CA                                              	     51509	    27.7	  1859.4
 486	Hinesville, GA                                          	     51456	    80.7	   637.9
